Country Name	Year	value
World	1981	42.7
World	1982	42.3
World	1983	41.4
World	1984	39.8
World	1985	38.2
World	1986	36.8
World	1987	35.8
World	1988	33.8
World	1989	36.9
World	1990	36.2
World	1991	36
World	1992	35.1
World	1993	34.3
World	1994	33.2
World	1995	31.3
World	1996	29.7
World	1997	29.6
World	1998	29.9
World	1999	28.8
World	2000	27.8
World	2001	26.9
World	2002	25.7
World	2003	24.7
World	2004	22.9
World	2005	21
World	2006	20.3
World	2007	19.1
World	2008	18.4
World	2009	17.6
World	2010	16
World	2011	13.9
World	2012	12.9
World	2013	11.4
World	2014	10.7
World	2015	10.1
World	2016	9.7
World	2017	9.3
